,acid_alc,kingdom,count,total_count,percentage
243,IN,Metazoa,5,30,16.666666666666664
244,IN,Fungi,25,30,83.33333333333334
245,DV,Pseudomonadati,2,27,7.4074074074074066
246,DV,Metazoa,4,27,14.814814814814813
247,HA,Bacillati,10,27,37.03703703703704
248,HA,Fungi,7,27,25.925925925925924
249,HA,Metazoa,3,27,11.11111111111111
250,DV,Fungi,9,27,33.33333333333333
251,DV,Bacillati,3,27,11.11111111111111
252,DV,Viridiplantae,9,27,33.33333333333333
253,HA,Viridiplantae,7,27,25.925925925925924
254,TS,Fungi,1,25,4.0
255,TS,Pseudomonadati,2,25,8.0
256,TS,Metazoa,3,25,12.0
257,TS,Viridiplantae,18,25,72.0
258,TS,Bacillati,1,25,4.0
259,EK,Bacillati,1,20,5.0
260,EK,Fungi,4,20,20.0
261,EK,Metazoa,12,20,60.0
262,EK,Viridiplantae,2,20,10.0
263,VA,Metazoa,11,19,57.89473684210527
264,VA,Pseudomonadati,1,19,5.263157894736842
265,VN,Bacillati,1,19,5.263157894736842
266,VN,Viridiplantae,1,19,5.263157894736842
267,VN,Fungi,17,19,89.47368421052632
268,VA,Viridiplantae,1,19,5.263157894736842
269,VA,Bacillati,6,19,31.57894736842105
270,SN,Metazoa,10,17,58.82352941176471
271,EE,Metazoa,10,17,58.82352941176471
272,EE,Pseudomonadati,1,17,5.88235294117647
273,EE,Viridiplantae,2,17,11.76470588235294
274,GP,Viridiplantae,4,17,23.52941176470588
275,GP,Methanobacteriati,2,17,11.76470588235294
276,EE,Fungi,4,17,23.52941176470588
277,GP,Bacillati,2,17,11.76470588235294
278,SN,Fungi,7,17,41.17647058823529
279,GP,Metazoa,9,17,52.94117647058824
280,NN,Fungi,1,15,6.666666666666667
281,NN,Metazoa,3,15,20.0
282,NN,Bacillati,3,15,20.0
283,NN,Viridiplantae,6,15,40.0
284,TN,Fungi,8,15,53.333333333333336
285,TN,Metazoa,4,15,26.666666666666668
286,DQ,Metazoa,13,15,86.66666666666667
287,DQ,Viridiplantae,2,15,13.333333333333334
288,XT,Viridiplantae,1,13,7.6923076923076925
289,XT,Pseudomonadati,2,13,15.384615384615385
290,XT,Bacillati,4,13,30.76923076923077
291,XT,Metazoa,6,13,46.15384615384615
292,AA,Pseudomonadati,5,12,41.66666666666667
293,AA,Metazoa,3,12,25.0
294,AA,Fungi,2,12,16.666666666666664
295,GA,Viridiplantae,7,12,58.333333333333336
296,AA,Bacillati,1,12,8.333333333333332
297,GA,Fungi,2,12,16.666666666666664
298,GA,Bacillati,2,12,16.666666666666664
299,GA,Metazoa,1,12,8.333333333333332
300,SP,Metazoa,9,11,81.81818181818183
301,SP,Fungi,1,11,9.090909090909092
302,SP,Bacillati,1,11,9.090909090909092
303,QP,Pseudomonadati,1,11,9.090909090909092
304,QP,Metazoa,10,11,90.9090909090909
305,GG,Bacillati,5,11,45.45454545454545
306,GG,Pseudomonadati,1,11,9.090909090909092
307,GG,Fungi,5,11,45.45454545454545
308,YS,Fungi,2,10,20.0
309,YS,Metazoa,3,10,30.0
310,YS,Viridiplantae,5,10,50.0
311,DM,Viridiplantae,4,10,40.0
312,SA,Bacillati,5,10,50.0
313,DR,Fungi,1,10,10.0
314,DR,Metazoa,7,10,70.0
315,DR,Viridiplantae,2,10,20.0
316,DM,Metazoa,1,10,10.0
317,DM,Fungi,5,10,50.0
318,SA,Fungi,2,10,20.0
319,SA,Metazoa,2,10,20.0
320,SA,Pseudomonadati,1,10,10.0
321,EL,Fungi,3,9,33.33333333333333
322,EL,Bacillati,2,9,22.22222222222222
323,NG,Viridiplantae,8,9,88.88888888888889
324,NG,Fungi,1,9,11.11111111111111
325,EL,Viridiplantae,4,9,44.44444444444444
326,TA,Viridiplantae,2,8,25.0
327,HQ,Metazoa,1,8,12.5
328,HQ,Fungi,7,8,87.5
329,TA,Metazoa,3,8,37.5
330,TA,Fungi,1,8,12.5
331,YN,Viridiplantae,1,8,12.5
332,CT,Fungi,1,8,12.5
333,CT,Metazoa,5,8,62.5
334,TA,Bacillati,1,8,12.5
335,YN,Fungi,7,8,87.5
336,DK,Metazoa,1,8,12.5
337,DK,Fungi,3,8,37.5
338,CT,Viridiplantae,2,8,25.0
339,DK,Viridiplantae,3,8,37.5
340,PT,Pseudomonadati,1,8,12.5
341,PT,Bacillati,4,8,50.0
342,PT,Metazoa,2,8,25.0
343,NP,Viridiplantae,1,7,14.285714285714285
344,NP,Metazoa,6,7,85.71428571428571
345,MS,Viridiplantae,3,7,42.857142857142854
346,HP,Viridiplantae,1,7,14.285714285714285
347,HP,Metazoa,3,7,42.857142857142854
348,HP,Fungi,3,7,42.857142857142854
349,MS,Bacillati,3,7,42.857142857142854
350,MS,Metazoa,1,7,14.285714285714285
351,VP,Viridiplantae,2,6,33.33333333333333
352,HK,Fungi,5,6,83.33333333333334
353,HK,Metazoa,1,6,16.666666666666664
354,VP,Metazoa,4,6,66.66666666666666
355,QA,Metazoa,1,5,20.0
356,QA,Viridiplantae,3,5,60.0
357,KP,Metazoa,2,5,40.0
358,KP,Viridiplantae,3,5,60.0
359,QA,Bacillati,1,5,20.0
360,EF,Metazoa,2,5,40.0
361,EF,Viridiplantae,3,5,60.0
362,ER,Pseudomonadati,1,4,25.0
363,HV,Bacillati,1,4,25.0
364,DE,Metazoa,2,4,50.0
365,HV,Fungi,3,4,75.0
366,IP,Metazoa,2,4,50.0
367,QI,Metazoa,4,4,100.0
368,ER,Fungi,1,4,25.0
369,IP,Viridiplantae,2,4,50.0
370,DE,Fungi,2,4,50.0
371,LN,Bacillati,3,4,75.0
372,ER,Metazoa,2,4,50.0
373,LN,Viridiplantae,1,4,25.0
374,PA,Bacillati,3,3,100.0
375,QN,Bacillati,1,3,33.33333333333333
376,QN,Metazoa,2,3,66.66666666666666
377,RS,Bacillati,2,3,66.66666666666666
378,RS,Fungi,1,3,33.33333333333333
379,LK,Metazoa,2,3,66.66666666666666
380,LK,Fungi,1,3,33.33333333333333
