acid_alc,Bacillati,Bamfordvirae,Fungi,Heunggongvirae,Metazoa,Methanobacteriati,Nanobdellati,Pseudomonadati,Thermoproteati,Thermotogati,Viridiplantae
NS,0.019382254920913028,0.0,0.17179324885137023,0.0,0.15247373871118247,0.0,0.0,0.019204707547591685,0.0,0.0,0.6371460499689426
NT,0.04537264843573657,0.0,0.21751925389629692,0.0,0.20235390976473586,0.0,0.0,0.0032889524361179373,0.0,0.0,0.5314652354671129
PA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.5715581764572465,0.0,0.0,0.0,0.28577908822862325,0.0,0.0,0.14266273531413018,0.0,0.0,0.0
QA,0.20126863763608244,0.0,0.0,0.0,0.20063070217606316,0.0,0.0,0.0,0.0,0.0,0.5981006601878545
QF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
QN,0.3343782654127482,0.0,0.0,0.0,0.6656217345872518,0.0,0.0,0.0,0.0,0.0,0.0
QP,0.0,0.0,0.0,0.0,0.908203125,0.0,0.0,0.091796875,0.0,0.0,0.0
QS,0.05924547532752998,0.0,0.05908832552560019,0.0,0.34009616371223317,0.0,0.0,0.2665540018154853,0.0,0.0,0.2750160336191515
QT,0.17715819312291106,0.0,0.04089881431672856,0.0,0.2526079308564196,0.0,0.0,0.016133281342741706,0.0,0.0,0.513201780361199
RN,0.0,0.0,0.0,0.0,0.6669999999999999,0.0,0.0,0.33299999999999996,0.0,0.0,0.0
RP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RS,0.6669970267591675,0.0,0.33300297324083256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT,0.2768579241851557,0.0,0.24191092113233098,0.0,0.17279351509452212,0.0,0.0,0.03465591456044846,0.0,0.0,0.27378172502754283
SA,0.5001428944324838,0.0,0.2003450097985662,0.0,0.19977013172166935,0.0,0.0,0.09974196404728045,0.0,0.0,0.0
SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SN,0.0,0.0,0.41344895287958117,0.0,0.5865510471204188,0.0,0.0,0.0,0.0,0.0,0.0
SP,0.09218803135066721,0.0,0.09192871199384395,0.0,0.8158832566554888,0.0,0.0,0.0,0.0,0.0,0.0
SQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SS,0.08523866947180801,0.0,0.042619334735904006,0.0,0.27235468514111416,0.0,0.0,0.12652267257107794,0.0,0.0,0.47326463808009583
ST,0.027271043008373904,0.0,0.2019193476078351,0.0,0.3636998048372578,0.003437900356546568,0.0,0.037142354911140235,0.0,0.0,0.3665295492788464
TA,0.1437982266019234,0.0,0.14340852951086128,0.0,0.4279063131227047,0.0,0.0,0.0,0.0,0.0,0.28488693076451044
TG,0.0,0.0,0.3342342342342342,0.0,0.6657657657657658,0.0,0.0,0.0,0.0,0.0,0.0
TL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.6660839160839161,0.0,0.33391608391608396,0.0,0.0,0.0,0.0,0.0,0.0
TP,0.0,0.0,0.3342222222222222,0.0,0.6657777777777778,0.0,0.0,0.0,0.0,0.0,0.0
TS,0.04099372762485158,0.0,0.04088820966442726,0.0,0.12203638505477583,0.0,0.0,0.08125355219759586,0.0,0.0,0.7148281254583495
TT,0.1456986432989962,0.0,0.29061706163387674,0.0,0.13621036056264962,0.0020163214939115637,0.0,0.06488366217679281,0.0,0.0,0.360573950833773
VA,0.3173912513518042,0.0,0.0,0.0,0.5768114978904935,0.0,0.0,0.05296508093837236,0.0,0.0,0.05283216981933001
VG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VN,0.05370164158195339,0.0,0.892863557291159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05343480112688778
VP,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
VS,0.14367357344765155,0.0,0.04271525151627257,0.0,0.6380120827476535,0.0,0.0,0.008543050303254513,0.0,0.0,0.1670560419851678
VT,0.19870997648653113,0.0,0.22184452385131062,0.0,0.42036679172421465,0.006878058729235834,0.0,0.06052920093806547,0.0018785607020785507,0.0018771964604648408,0.08791569110809898
XT,0.3085707501443889,0.0,0.0,0.0,0.4606467881033777,0.0,0.0,0.15391627130407914,0.0,0.0,0.07686619044815422
YN,0.0,0.0,0.8744769874476988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12552301255230125
YP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
YQ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS,0.0,0.0,0.20103923250169878,0.0,0.300492013202716,0.0,0.0,0.0,0.0,0.0,0.4984687542955852
YT,0.023037129132422424,0.0,0.05342653351987329,0.0,0.587089879608523,0.0,0.0,0.007647859112997089,0.0,0.0,0.3287985986261843
